T = 100;
m = 4;
V = 1;
R =  [[19 19 22 21 19 19 17 19 22 16 17 21 21 17 23 19 18 23 20 20 23 22 18 16 20
         23 16 22 17 20 19 23 20 21 19 17 18 20 21 17 19 16 21 18 20 17 21
         18 17 17 17 18 20 23 23 22 21 23 16 19 22 16 19 16 19 22 22 21 21
         17 17 17 16 22 21 16 23 19 20 18 23 20 17 19 21 16 16 17 17 23 19
         18 16 23 22 17 23 22 16 19 19]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 40;
a =  [2 3 9 3 7 9 9 6 7 4 1 6 4 8 3 5 3 2 4 9 4 2 2 4 2 8 3 10 1 10 4 4 2 3 8 6
     2 7 10 4];
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 0 2]
             [0 1 3 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 2 3]
             [1 3 1 2]
             [2 1 0 2]
             [1 1 3 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 2 3]
             [0 0 0 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 2 2]
             [1 2 2 2]
             [3 3 0 0]
             [1 1 3 3]
             [3 1 0 1]
             [1 0 1 2]
             [1 1 0 3]
             [0 1 0 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 3 3 1]
             [3 1 0 2]
             [2 2 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 1 3 0]
             [3 3 1 3]
             [3 3 3 1]
             [2 3 0 1]
             [0 1 3 1]
             [3 2 3 0]
             [2 0 0 1]
             [2 3 2 1]
             [0 2 2 2]
             [3 2 1 3]]
         [[0 3 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 1 1]
             [0 3 3 1]
             [3 0 1 0]
             [1 1 2 2]
             [2 3 0 1]
             [0 2 1 0]
             [2 2 0 1]
             [1 0 1 2]
             [2 2 0 0]
             [1 1 1 0]]
         [[2 1 0 0]
             [2 2 2 3]
             [0 1 2 3]
             [0 0 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 0 3]
             [1 3 0 3]
             [2 0 1 1]
             [0 1 3 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 3 3 0]
             [1 1 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 3 1 3]
             [3 1 2 2]
             [1 2 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 0 3]
             [2 3 2 3]
             [1 0 2 2]
             [1 2 0 1]
             [3 2 1 2]
             [3 2 2 1]
             [1 2 1 1]
             [0 1 2 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 0 2]
             [3 1 0 3]
             [1 1 3 2]
             [1 2 2 1]
             [1 3 1 2]
             [0 0 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 0 1]
             [3 1 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 2 3]
             [3 3 0 0]
             [1 1 0 2]
             [2 3 3 1]
             [2 1 0 2]
             [0 1 3 1]
             [2 2 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 0 1]
             [2 1 0 3]
             [2 1 3 3]
             [3 2 1 2]
             [3 0 1 0]
             [2 2 1 2]
             [3 0 1 3]
             [0 2 2 3]
             [2 3 0 1]
             [2 3 0 3]]
         [[3 3 2 2]
             [2 2 2 0]
             [0 2 0 1]
             [3 1 3 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]];
l =  [[0 0 0 0 0 0 0 0 0 0]
         [2 1 0 0 0 0 0 0 0 0]
         [2 3 3 3 3 0 2 4 0 0]
         [2 0 0 0 0 0 0 0 0 0]
         [0 4 0 2 0 1 0 0 0 0]
         [1 3 3 4 0 1 2 3 0 0]
         [1 1 4 3 3 0 3 3 0 0]
         [4 4 0 2 3 0 0 0 0 0]
         [3 0 2 1 1 3 0 0 0 0]
         [3 2 4 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [1 2 1 3 2 0 0 0 0 0]
         [0 1 3 0 0 0 0 0 0 0]
         [3 3 0 0 1 0 4 0 0 0]
         [0 2 0 0 0 0 0 0 0 0]
         [3 0 0 0 0 0 0 0 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [1 3 2 0 0 0 0 0 0 0]
         [3 3 0 4 4 0 2 4 0 0]
         [2 1 1 0 0 0 0 0 0 0]
         [2 0 0 0 0 0 0 0 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [0 2 4 0 0 0 0 0 0 0]
         [2 0 0 0 0 0 0 0 0 0]
         [4 2 3 0 2 4 3 0 0 0]
         [4 3 0 0 0 0 0 0 0 0]
         [2 0 4 1 3 2 0 3 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [3 2 3 2 1 4 0 0 1 0]
         [3 1 3 0 0 0 0 0 0 0]
         [1 0 1 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [2 0 0 0 0 0 0 0 0 0]
         [2 4 3 1 4 1 4 0 0 0]
         [3 3 3 0 1 0 0 0 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [4 0 2 3 3 1 0 0 0 0]
         [3 4 1 0 0 1 4 2 4 0]
         [0 0 0 0 0 0 0 0 0 0]];
