T = 100;
m = 4;
V = 1;
R =  [[39 38 35 48 35 36 33 35 43 35 44 43 36 39 39 38 41 34 38 38 40 44 37 45 46
         39 42 41 47 38 47 48 35 46 43 47 35 44 48 46 44 40 34 45 43 38 37
         40 38 45 34 47 38 36 38 40 40 43 36 46 39 33 43 40 41 37 47 41 46
         46 45 34 33 44 43 36 36 33 41 36 35 46 34 46 36 47 40 48 46 34 47
         45 48 48 47 35 41 43 37 48 42]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 75;
a =  [5 5 2 5 8 9 5 7 10 5 3 7 9 2 8 3 8 4 5 5 5 7 1 5 7 1 1 6 3 9 5 2 8 5 8 10
     1 8 3 9 5 2 3 3 8 7 5 5 6 2 8 1 8 3 9 8 3 8 5 8 6 1 8 1 3 2 4 6 7 7 3
     5 6 6 9];
             [0 0 0 0]]
         [[3 0 1 2]
             [3 0 0 3]
             [3 2 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 2 1]
             [3 3 3 3]
             [3 3 1 0]
             [3 2 1 1]
             [0 3 0 3]
             [1 3 3 0]
             [2 1 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 2 2]
             [1 1 1 1]
             [1 0 3 0]
             [0 1 3 3]
             [3 1 0 2]
             [0 3 2 2]
             [2 2 3 2]
             [3 3 0 1]
             [3 0 3 3]
             [0 0 0 0]]
         [[0 0 3 3]
             [3 2 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 0 1]
             [1 1 1 2]
             [0 1 1 3]
             [2 0 2 3]
             [1 0 0 0]
             [0 1 0 1]
             [3 1 0 0]
             [2 2 3 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 2 0]
             [1 2 0 2]
             [1 2 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 3 3]
             [1 0 2 2]
             [3 1 3 1]
             [2 0 3 3]
             [3 2 1 0]
             [3 3 0 3]
             [0 0 1 0]
             [1 2 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 0 2]
             [1 3 1 3]
             [2 0 1 3]
             [3 0 2 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 1 3 1]
             [1 0 2 3]
             [2 2 2 3]
             [1 3 1 3]
             [3 0 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 3 1]
             [0 1 3 2]
             [1 1 1 3]
             [2 3 2 3]
             [2 2 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 1 2]
             [2 1 2 2]
             [3 1 1 2]
             [2 1 2 2]
             [0 0 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 2 0]
             [3 3 1 1]
             [1 1 3 2]
             [3 0 3 3]
             [1 3 2 1]
             [1 3 0 2]
             [3 3 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 3 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 3 0]
             [1 1 1 0]
             [0 2 3 1]
             [3 3 0 1]
             [3 3 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 2 2]
             [3 3 1 1]
             [1 1 3 2]
             [0 0 1 2]
             [0 2 0 0]
             [1 0 1 3]
             [1 2 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 1 3]
             [1 1 0 2]
             [0 1 0 2]
             [2 0 1 2]
             [3 0 0 3]
             [2 2 3 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 0 0]
             [1 3 0 3]
             [3 2 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 3 2]
             [3 3 3 1]
             [1 2 2 2]
             [1 0 0 0]
             [2 3 3 0]
             [0 0 3 3]
             [1 0 1 1]
             [3 2 0 0]
             [3 1 2 0]
             [0 0 0 0]]
         [[1 3 2 3]
             [2 1 3 3]
             [1 1 3 1]
             [2 1 0 3]
             [3 3 3 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 0 1 0]
             [0 1 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 2 0]
             [3 0 2 2]
             [2 2 1 1]
             [0 1 0 0]
             [2 3 0 3]
             [0 2 0 0]
             [1 1 0 3]
             [1 1 0 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 0 2]
             [3 0 2 1]
             [3 0 2 2]
             [1 0 2 1]
             [2 0 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 0 1]
             [1 1 0 2]
             [2 3 1 1]
             [0 2 0 0]
             [3 3 3 0]
             [0 0 1 1]
             [1 0 0 3]
             [2 2 3 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 2 0]
             [3 0 3 2]
             [3 0 2 2]
             [1 0 1 3]
             [3 3 3 2]
             [3 3 1 0]
             [3 0 2 0]
             [0 0 1 0]
             [0 2 3 3]
             [2 3 2 0]]
         [[0 0 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 3 3]
             [3 2 0 1]
             [2 1 2 2]
             [3 3 3 3]
             [2 3 1 1]
             [3 3 1 3]
             [1 3 1 2]
             [0 0 3 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 1 1]
             [1 2 3 2]
             [2 2 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 0 3]
             [2 1 2 3]
             [3 3 2 2]
             [2 3 2 2]
             [1 3 1 2]
             [3 2 2 3]
             [1 3 0 3]
             [3 1 3 3]
             [1 1 0 0]
             [0 0 0 0]]
         [[1 2 2 3]
             [3 0 1 2]
             [2 0 0 1]
             [3 2 1 2]
             [3 1 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 1 0]
             [1 0 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 3 3]
             [0 0 3 1]
             [1 2 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 2 1 0]
             [0 3 1 1]
             [0 3 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 2 3]
             [0 2 2 3]
             [1 2 2 1]
             [2 1 3 2]
             [0 1 2 2]
             [1 2 1 3]
             [3 1 1 2]
             [0 0 3 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 3 2]
             [0 3 1 1]
             [1 2 0 3]
             [3 2 1 3]
             [3 0 0 3]
             [0 2 3 3]
             [1 1 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 3 1]
             [0 0 1 0]
             [2 3 2 0]
             [0 2 3 2]
             [0 1 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 3 2 1]
             [0 2 0 1]
             [0 3 1 3]
             [0 2 1 3]
             [2 2 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 2 1 2]
             [3 3 0 3]
             [3 2 2 2]
             [2 1 0 1]
             [2 3 2 3]
             [1 3 1 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 3 1]
             [1 1 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 3 3]
             [1 0 2 1]
             [0 0 1 2]
             [0 1 1 3]
             [0 1 2 1]
             [2 0 1 1]
             [3 3 0 0]
             [1 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 3 0]
             [0 2 0 3]
             [1 3 0 3]
             [3 1 1 3]
             [2 3 0 3]
             [2 2 3 3]
             [2 0 0 1]
             [1 0 1 1]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 2 1]
             [1 3 0 3]
             [2 0 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 1 2]
             [3 2 0 2]
             [0 0 1 1]
             [0 0 0 0]
             [0 0 0 3]
             [0 1 2 0]
             [0 2 3 0]
             [3 1 0 1]
             [2 2 1 1]
             [0 0 0 0]]
         [[3 1 0 0]
             [2 0 3 0]
             [3 1 1 1]
             [0 0 3 2]
             [2 2 0 0]
             [0 2 2 2]
             [2 0 2 3]
             [2 3 1 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 1 3]
             [3 1 1 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 3 0]
             [1 3 3 3]
             [0 2 2 1]
             [0 1 1 0]
             [3 0 2 0]
             [3 3 2 1]
             [2 2 1 2]
             [0 1 0 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 3 1]
             [2 0 0 3]
             [2 1 2 0]
             [1 3 0 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 1 3 0]
             [2 2 3 2]
             [0 3 2 2]
             [0 1 3 3]
             [3 0 3 1]
             [1 2 1 0]
             [1 1 3 3]
             [2 1 0 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 3 0]
             [0 1 3 3]
             [0 1 2 3]
             [0 2 2 2]
             [0 0 3 0]
             [0 1 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 2 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 1 3]
             [1 3 1 0]
             [3 3 3 3]
             [1 1 2 3]
             [3 3 1 1]
             [2 2 3 2]
             [3 3 3 0]
             [1 0 1 3]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 3 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 1 1]
             [3 1 1 1]
             [3 1 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 0 2]
             [1 0 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 3 2]
             [2 0 2 2]
             [3 2 3 3]
             [3 0 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 1 2 2]
             [3 2 0 3]
             [3 0 2 1]
             [0 0 0 2]
             [2 0 2 0]
             [3 1 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 2 3]
             [0 1 2 1]
             [3 3 3 2]
             [2 3 2 3]
             [0 3 1 1]
             [3 1 3 0]
             [0 3 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 2 2 2]
             [3 0 3 2]
             [2 1 3 3]
             [1 3 2 3]
             [2 3 3 1]
             [2 3 2 1]
             [2 1 2 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 0 3]
             [3 0 0 3]
             [1 1 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 2 0 1]
             [2 1 1 0]
             [3 1 3 2]
             [2 3 3 2]
             [3 2 1 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 1 1]
             [0 1 0 2]
             [2 2 0 0]
             [2 2 1 2]
             [2 0 0 2]
             [3 1 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 2 0]
             [1 3 0 2]
             [2 2 0 3]
             [3 1 3 2]
             [1 0 3 0]
             [3 2 3 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 1 1 0]
             [3 2 1 0]
             [3 0 1 2]
             [1 0 3 2]
             [0 3 0 2]
             [0 1 1 3]
             [0 1 3 1]
             [0 1 1 1]
             [2 3 2 0]
             [0 0 0 0]]];
l =  [[1 1 3 1 0 0 0 0 0 0]
         [2 4 1 1 0 0 0 0 0 0]
         [1 0 0 0 0 0 0 0 0 0]
         [2 1 3 1 0 0 0 0 0 0]
         [2 4 0 0 4 1 1 0 0 0]
         [3 4 0 0 2 0 2 2 0 0]
         [1 0 0 0 0 0 0 0 0 0]
         [0 4 0 4 2 1 0 0 0 0]
         [2 1 1 3 4 4 3 2 3 0]
         [2 0 3 3 0 0 0 0 0 0]
         [2 4 0 0 0 0 0 0 0 0]
         [0 0 2 4 0 2 0 0 0 0]
         [3 2 4 2 4 1 0 1 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [3 4 0 3 1 3 0 0 0 0]
         [3 3 0 0 0 0 0 0 0 0]
         [1 1 0 0 1 2 0 0 0 0]
         [0 1 1 0 0 0 0 0 0 0]
         [1 2 3 3 0 0 0 0 0 0]
         [2 3 4 2 0 0 0 0 0 0]
         [2 2 1 0 0 0 0 0 0 0]
         [1 0 3 3 4 2 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [1 3 4 4 0 0 0 0 0 0]
         [0 1 2 4 4 4 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 0 1 4 1 0 0 0 0 0]
         [1 2 0 0 0 0 0 0 0 0]
         [2 0 3 2 2 3 4 1 0 0]
         [0 3 1 1 0 0 0 0 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [3 2 1 3 3 1 1 0 0 0]
         [3 2 1 3 0 0 0 0 0 0]
         [4 2 2 3 4 4 1 0 0 0]
         [1 1 1 3 2 1 0 1 4 0]
         [0 0 0 0 0 0 0 0 0 0]
         [2 4 4 1 2 2 2 0 0 0]
         [2 1 0 0 0 0 0 0 0 0]
         [1 1 1 3 0 3 1 3 0 0]
         [1 2 3 4 0 0 0 0 0 0]
         [3 0 0 0 0 0 0 0 0 0]
         [4 2 0 0 0 0 0 0 0 0]
         [1 3 0 0 0 0 0 0 0 0]
         [2 2 2 2 4 1 0 0 0 0]
         [0 2 1 2 4 0 0 0 0 0]
         [0 0 1 2 0 0 0 0 0 0]
         [3 2 4 1 0 0 0 0 0 0]
         [0 3 2 2 1 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [3 4 1 1 1 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 2 0 3 0 0 1 0 0 0]
         [3 2 0 0 0 0 0 0 0 0]
         [1 4 1 2 1 0 2 2 0 0]
         [3 4 0 4 4 0 1 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [1 4 3 2 3 4 3 0 0 0]
         [4 4 1 2 0 0 0 0 0 0]
         [3 3 1 4 2 4 1 0 0 0]
         [2 1 3 2 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 0 0 4 3 4 1 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [4 4 0 0 0 0 0 0 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [3 4 0 0 0 0 0 0 0 0]
         [4 2 2 0 4 0 0 0 0 0]
         [4 3 4 0 0 3 0 0 0 0]
         [2 3 2 0 0 4 0 0 0 0]
         [0 3 0 0 0 0 0 0 0 0]
         [0 0 1 4 0 0 0 0 0 0]
         [0 4 1 1 0 0 0 0 0 0]
         [3 0 0 4 0 0 0 0 0 0]
         [0 4 0 3 0 0 3 1 0 0]];
